Source Code,Source Name,Source Coding Scheme,Source Coding Scheme Version,Source Coding Scheme Namespace,Association Name,REL,Map Rank,Target Code,Target Name,Target Coding Scheme,Target Coding Scheme Version,Target Coding Scheme Namespace
"CDR0000037782","doxorubicin HCl liposome/methotrexate/prednisone/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11713","Doxorubicin Hcl Liposome/Methotrexate/Prednisone/Vincristine","NCI","17.01e","NCI"
"CDR0000037783","alemtuzumab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1681","Alemtuzumab","NCI","17.01e","NCI"
"CDR0000037784","cyclophosphamide/cytarabine/fludarabine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11714","Cyclophosphamide/Cytarabine/Fludarabine","NCI","17.01e","NCI"
"CDR0000037785","asparaginase/dexamethasone","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11715","Asparaginase/Dexamethasone","NCI","17.01e","NCI"
"CDR0000037786","dexamethasone/methotrexate/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11716","Dexamethasone/Methotrexate/Vincristine","NCI","17.01e","NCI"
"CDR0000037787","daunorubicin/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11717","Daunorubicin/Vincristine","NCI","17.01e","NCI"
"CDR0000037788","prinomastat/temozolomide","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11718","Prinomastat/Temozolomide","NCI","17.01e","NCI"
"CDR0000037789","cisplatin/gemcitabine/prinomastat","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11719","Cisplatin/Gemcitabine/Prinomastat","NCI","17.01e","NCI"
"CDR0000037790","Waldenström macroglobulinemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C3212","Lymphoplasmacytic Lymphoma","NCI","17.01e","NCI"
"CDR0000037790","Waldenström macroglobulinemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C80307","Waldenstrom Macroglobulinemia","NCI","17.01e","NCI"
"CDR0000037791","gemcitabine/oxaliplatin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11720","Gemcitabine/Oxaliplatin","NCI","17.01e","NCI"
"CDR0000037792","L-377,202","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1853","L-377,202","NCI","17.01e","NCI"
"CDR0000037793","rosiglitazone maleate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2583","Rosiglitazone Maleate","NCI","17.01e","NCI"
"CDR0000037794","cisplatin/rebeccamycin analogue","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11721","Cisplatin/Rebeccamycin Analogue","NCI","17.01e","NCI"
"CDR0000037795","ISIS 2503","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2024","ISIS 2503","NCI","17.01e","NCI"
"CDR0000037796","liposomal daunorubicin citrate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2213","Liposomal Daunorubicin Citrate","NCI","17.01e","NCI"
"CDR0000037797","monoclonal antibody 4B5 anti-idiotype vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2227","Monoclonal Antibody 4B5 Anti-Idiotype Vaccine","NCI","17.01e","NCI"
"CDR0000037798","alum adjuvant/monoclonal antibody 4B5 anti-idiotype vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11722","Alum adjuvant/Monoclonal antibody 4B5 anti-idiotype vaccine","NCI","17.01e","NCI"
"CDR0000037799","monoclonal antibody 4B5 anti-idiotype vaccine/sargramostim","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11723","Monoclonal antibody 4B5 anti-idiotype vaccine/Sargramostim","NCI","17.01e","NCI"
"CDR0000037800","salmonella VNP20009","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2556","Salmonella VNP20009","NCI","17.01e","NCI"
"CDR0000037801","stage I multiple myeloma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7850","DS Stage I Plasma Cell Myeloma","NCI","17.01e","NCI"
"CDR0000037802","MLH1","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C18482","MLH1 Gene","NCI","17.01e","NCI"
"CDR0000037803","PMS1","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C18590","PMS1 Gene","NCI","17.01e","NCI"
"CDR0000037804","PMS2","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C18591","PMS2 Gene","NCI","17.01e","NCI"
"CDR0000037805","MSH3","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C20211","MSH3 Gene","NCI","17.01e","NCI"
"CDR0000037806","MSH6","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C19195","MSH6 Gene","NCI","17.01e","NCI"
"CDR0000037807","pegfilgrastim","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1854","Pegfilgrastim","NCI","17.01e","NCI"
"CDR0000037808","PSA RNA-pulsed dendritic cell vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2236","PSA RNA-Pulsed Dendritic Cell Vaccine","NCI","17.01e","NCI"
"CDR0000037809","cefixime","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1100","Cefixime","NCI","17.01e","NCI"
"CDR0000037810","stage II multiple myeloma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7851","DS Stage II Plasma Cell Myeloma","NCI","17.01e","NCI"
"CDR0000037811","stage III multiple myeloma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7852","DS Stage III Plasma Cell Myeloma","NCI","17.01e","NCI"
"CDR0000037812","rifabutin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1408","Rifabutin","NCI","17.01e","NCI"
"CDR0000037813","stage IV cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7801","Stage IV Cutaneous T-Cell Non-Hodgkin Lymphoma","NCI","17.01e","NCI"
"CDR0000037813","stage IV cutaneous T-cell non-Hodgkin lymphoma","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C88160","Stage IV Mycosis Fungoides and Sezary Syndrome","NCI","17.01e","NCI"
"CDR0000037814","didanosine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C431","Didanosine","NCI","17.01e","NCI"
"CDR0000037815","anti-thymocyte globulin/cyclosporine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11724","Anti-thymocyte globulin/Cyclosporine","NCI","17.01e","NCI"
"CDR0000037818","tositumomab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2543","Tositumomab","NCI","17.01e","NCI"
"CDR0000037819","limited stage small cell lung cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7853","Limited Stage Small Cell Lung Carcinoma","NCI","17.01e","NCI"
"CDR0000037820","fluorouracil/leucovorin calcium/triacetyluridine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11725","Fluorouracil/Leucovorin Calcium/Triacetyluridine","NCI","17.01e","NCI"
"CDR0000037821","lerisetron","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C30143","Lerisetron","NCI","17.01e","NCI"
"CDR0000037822","cytarabine/leucovorin calcium","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11726","Cytarabine/Leucovorin Calcium","NCI","17.01e","NCI"
"CDR0000037824","captopril","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C340","Captopril","NCI","17.01e","NCI"
"CDR0000037825","tacedinaline","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2202","Tacedinaline","NCI","17.01e","NCI"
"CDR0000037826","cytarabine/daunorubicin/PSC 833","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11727","Cytarabine/Daunorubicin/PSC 833","NCI","17.01e","NCI"
"CDR0000037827","tamoxifen/tretinoin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11728","Tamoxifen/Tretinoin","NCI","17.01e","NCI"
"CDR0000037828","pralatrexate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2250","Pralatrexate","NCI","17.01e","NCI"
"CDR0000037829","extensive stage small cell lung cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9049","Extensive Stage Small Cell Lung Carcinoma","NCI","17.01e","NCI"
"CDR0000037830","triapine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2242","Triapine","NCI","17.01e","NCI"
"CDR0000037831","recurrent small cell lung cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9050","Recurrent Small Cell Lung Carcinoma","NCI","17.01e","NCI"
"CDR0000037832","asparaginase/cyclophosphamide/cytarabine/daunorubicin/dexamethasone/methotrexate/thioguanine/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11729","Asparaginase/cyclophosphamide/cytarabine/daunorubicin/dexamethasone/methotrexate/thioguanine/vincristine","NCI","17.01e","NCI"
"CDR0000037833","asparaginase/cyclophosphamide/cytarabine/daunorubicin/methotrexate/prednisone/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11730","Asparaginase/cyclophosphamide/cytarabine/daunorubicin/methotrexate/prednisone/vincristine","NCI","17.01e","NCI"
"CDR0000037834","cyclophosphamide/cytarabine/mercaptopurine/methotrexate/prednisone","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11731","Cyclophosphamide/Cytarabine/Mercaptopurine/Methotrexate/Prednisone","NCI","17.01e","NCI"
"CDR0000037835","asparaginase/cytarabine/daunorubicin/methotrexate/prednisone/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11732","Asparaginase/cytarabine/daunorubicin/methotrexate/prednisone/vincristine","NCI","17.01e","NCI"
"CDR0000037836","docetaxel/oxaliplatin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11733","Docetaxel/Oxaliplatin","NCI","17.01e","NCI"
"CDR0000037837","adult acute lymphoblastic leukemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C4967","Adult Acute Lymphoblastic Leukemia","NCI","17.01e","NCI"
"CDR0000037838","amifostine/cisplatin/docetaxel","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11734","Amifostine/Cisplatin/Docetaxel","NCI","17.01e","NCI"
"CDR0000037840","keyhole limpet hemocyanin/polysialic acid","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11735","Keyhole Limpet Hemocyanin/Polysialic Acid","NCI","17.01e","NCI"
"CDR0000037841","keyhole limpet hemocyanin/polysialic acid/QS21","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11736","Keyhole Limpet Hemocyanin/Polysialic Acid/QS21","NCI","17.01e","NCI"
"CDR0000037842","exemestane/raloxifene","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11737","Exemestane/Raloxifene","NCI","17.01e","NCI"
"CDR0000037843","cytarabine/UCN-01","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11738","Cytarabine/UCN-01","NCI","17.01e","NCI"
"CDR0000037844","cilengitide","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1834","Cilengitide","NCI","17.01e","NCI"
"CDR0000037845","interleukin-12/rituximab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11739","Interleukin-12/Rituximab","NCI","17.01e","NCI"
"CDR0000037846","fluorouracil/gemcitabine/oxaliplatin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11740","Fluorouracil/Gemcitabine/Oxaliplatin","NCI","17.01e","NCI"
"CDR0000037847","isolated limb perfusion","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C15393","Isolated Chemotherapeutic Limb Perfusion","NCI","17.01e","NCI"
"CDR0000037848","dactinomycin/melphalan","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11741","Dactinomycin/Melphalan","NCI","17.01e","NCI"
"CDR0000037849","cyclophosphamide/doxorubicin/etoposide/prednisone/rituximab/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11742","Cyclophosphamide/Doxorubicin/Etoposide/Prednisone/Rituximab/Vincristine","NCI","17.01e","NCI"
"CDR0000037850","B43-genistein immunoconjugate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2544","B43-Genistein Immunoconjugate","NCI","17.01e","NCI"
"CDR0000037851","irinotecan/oblimersen","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11743","Irinotecan/Oblimersen","NCI","17.01e","NCI"
"CDR0000037852","BMS-214662","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1856","BMS-214662","NCI","17.01e","NCI"
"CDR0000037853","MVA-MUC1-IL2 vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2241","MVA-MUC1-IL2 Vaccine","NCI","17.01e","NCI"
"CDR0000037854","bowel obstruction management","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C51995","Bowel Obstruction Management","NCI","17.01e","NCI"
"CDR0000037855","doxorubicin HCl liposome/trastuzumab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11744","Doxorubicin HCl Liposome/Trastuzumab","NCI","17.01e","NCI"
"CDR0000037856","thiamine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C874","Thiamine","NCI","17.01e","NCI"
"CDR0000037857","panitumumab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1857","Panitumumab","NCI","17.01e","NCI"
"CDR0000037858","amifostine/cisplatin/irinotecan","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11745","Amifostine/Cisplatin/Irinotecan","NCI","17.01e","NCI"
"CDR0000037859","docetaxel/thalidomide","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11746","Docetaxel/Thalidomide","NCI","17.01e","NCI"
"CDR0000037860","ixabepilone","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C37452","Ixabepilone","NCI","17.01e","NCI"
"CDR0000037861","vitamin D3 analogue ILX23-7553","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1883","ILX23-7553","NCI","17.01e","NCI"
"CDR0000037862","imatinib mesylate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1687","Imatinib Mesylate","NCI","17.01e","NCI"
"CDR0000037863","cisplatin/raltitrexed","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11747","Cisplatin/Raltitrexed","NCI","17.01e","NCI"
"CDR0000037864","carboplatin/epirubicin/paclitaxel","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11748","Carboplatin/Epirubicin/Paclitaxel","NCI","17.01e","NCI"
"CDR0000037865","cytarabine/fludarabine/oblimersen","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11749","Cytarabine/Fludarabine/Oblimersen","NCI","17.01e","NCI"
"CDR0000037866","cisplatin/mitolactol","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9794","Cisplatin/Mitolactol","NCI","17.01e","NCI"
"CDR0000037867","dofequidar fumarate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2231","Dofequidar Fumarate","NCI","17.01e","NCI"
"CDR0000037868","docetaxel/MS-209","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11750","Docetaxel/MS-209","NCI","17.01e","NCI"
"CDR0000037869","MUC-2-KLH vaccine/QS21","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11751","MUC-2-KLH Vaccine/QS21","NCI","17.01e","NCI"
"CDR0000037871","therapeutic allogeneic lymphocytes","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C28676","Therapeutic Allogeneic Lymphocytes","NCI","17.01e","NCI"
"CDR0000037872","surgical wound closure","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C63340","Surgical Wound Closure","NCI","17.01e","NCI"
"CDR0000037873","PR1 leukemia peptide vaccine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2235","PR1 Leukemia Peptide Vaccine","NCI","17.01e","NCI"
"CDR0000037874","O6-benzylguanine/polifeprosan 20 with carmustine implant","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11752","O6-Benzylguanine/Polifeprosan 20 With Carmustine Implant","NCI","17.01e","NCI"
"CDR0000037875","ifosfamide/paclitaxel/teniposide","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11753","Ifosfamide/Paclitaxel/Teniposide","NCI","17.01e","NCI"
"CDR0000037876","docetaxel/doxorubicin HCl liposome/trastuzumab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11754","Docetaxel/Doxorubicin Hcl Liposome/Trastuzumab","NCI","17.01e","NCI"
"CDR0000037877","tariquidar","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2246","Tariquidar","NCI","17.01e","NCI"
"CDR0000037878","Tc 99m sestamibi","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1419","Technetium Tc-99m Sestamibi","NCI","17.01e","NCI"
"CDR0000037879","tariquidar/vinorelbine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11755","Tariquidar/Vinorelbine","NCI","17.01e","NCI"
"CDR0000037880","enoxaparin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1452","Enoxaparin","NCI","17.01e","NCI"
"CDR0000037880","enoxaparin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C75769","Enoxaparin Sodium","NCI","17.01e","NCI"
"CDR0000037881","Montanide ISA-51/PR1 leukemia peptide vaccine/sargramostim","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11756","Montanide ISA-51/PR1 leukemia peptide vaccine/Sargramostim","NCI","17.01e","NCI"
"CDR0000037882","Biomed 101","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2206","Biomed 101","NCI","17.01e","NCI"
"CDR0000037883","Biomed 101/interleukin-2","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11757","Biomed 101/Interleukin-2","NCI","17.01e","NCI"
"CDR0000037884","anti-thymocyte globulin/methylprednisolone/tacrolimus","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11758","Anti-thymocyte globulin/methylprednisolone/tacrolimus","NCI","17.01e","NCI"
"CDR0000037885","adult acute myeloid leukemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9154","Adult Acute Myeloid Leukemia","NCI","17.01e","NCI"
"CDR0000037886","thromboembolism","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C28195","Thromboembolism","NCI","17.01e","NCI"
"CDR0000037892","cervical cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C9039","Cervical Carcinoma","NCI","17.01e","NCI"
"CDR0000037896","CI-994/gemcitabine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11759","CI-994/Gemcitabine","NCI","17.01e","NCI"
"CDR0000037897","ovarian Papanicolaou test","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C62671","Ovarian Papanicolaou Test","NCI","17.01e","NCI"
"CDR0000037898","ethynyluracil/fluorouracil/oxaliplatin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11760","Eniluracil/Fluorouracil/Oxaliplatin","NCI","17.01e","NCI"
"CDR0000037899","psoralen","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2586","Psoralen","NCI","17.01e","NCI"
"CDR0000037900","chronic myelogenous leukemia","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C3174","Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCI","17.01e","NCI"
"CDR0000037901","cisplatin/tirapazamine/vinorelbine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11761","Cisplatin/Tirapazamine/Vinorelbine","NCI","17.01e","NCI"
"CDR0000037902","cetuximab/irinotecan","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11762","Cetuximab/Irinotecan","NCI","17.01e","NCI"
"CDR0000037903","cisplatin/cyclophosphamide/etoposide/mafosfamide/vincristine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11763","Cisplatin/Cyclophosphamide/Etoposide/Mafosfamide/Vincristine","NCI","17.01e","NCI"
"CDR0000037904","fluorouracil/irinotecan/leucovorin calcium/oxaliplatin","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11764","Folfirinox Regimen","NCI","17.01e","NCI"
"CDR0000037905","carboplatin/paclitaxel/tirapazamine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11765","Carboplatin/Paclitaxel/Tirapazamine","NCI","17.01e","NCI"
"CDR0000037906","docetaxel/methotrexate","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11766","Docetaxel/Methotrexate","NCI","17.01e","NCI"
"CDR0000037907","adenovirus RSV-TK","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2545","Adenovirus RSV-TK","NCI","17.01e","NCI"
"CDR0000037908","chromosome 22q11","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C13477","22q11","NCI","17.01e","NCI"
"CDR0000037909","chromosome 22q","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C13553","22q","NCI","17.01e","NCI"
"CDR0000037910","stage 0 vulvar cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C4522","Stage 0 Vulvar Cancer AJCC v6","NCI","17.01e","NCI"
"CDR0000037912","HER-2","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C17756","ERBB2 Gene","NCI","17.01e","NCI"
"CDR0000037913","CSF1-R","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C18516","CSF1R Gene","NCI","17.01e","NCI"
"CDR0000037915","stage I vulvar cancer","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C7854","Stage I Vulvar Cancer AJCC v6","NCI","17.01e","NCI"
"CDR0000037916","PI-3 kinase","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C17270","Phosphatidylinositol 3 Kinase","NCI","17.01e","NCI"
"CDR0000037917","ILX-295501","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C1632","ILX-295501","NCI","17.01e","NCI"
"CDR0000037918","oblimersen/paclitaxel","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11767","Oblimersen/Paclitaxel","NCI","17.01e","NCI"
"CDR0000037919","cetuximab/gemcitabine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11768","Cetuximab/Gemcitabine","NCI","17.01e","NCI"
"CDR0000037921","chromosome 21","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C13217","Chromosome 21","NCI","17.01e","NCI"
"CDR0000037922","adenovirus B7-1","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C2204","Adenovirus B7-1","NCI","17.01e","NCI"
"CDR0000037923","carboplatin/etoposide/topotecan","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11769","Carboplatin/Etoposide/Topotecan","NCI","17.01e","NCI"
"CDR0000037924","carboplatin/etoposide/ifosfamide/rituximab","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11770","Carboplatin/Etoposide/Ifosfamide/Rituximab","NCI","17.01e","NCI"
"CDR0000037925","asparaginase/cyclophosphamide/cytarabine/daunorubicin/thioguanine","PDQ","2016_07_31","PDQ","mapped_to","SY","0","C11771","Asparaginase/cyclophosphamide/cytarabine/daunorubicin/thioguanine","NCI","17.01e","NCI"
